"Title"	"Description"	"Genre"	"Rating"	"Link"	"Date"
"The Girl in the Spider's Web"	"Lisbeth Salander and Mikael Blomkvist find themselves caught in a web of spies, cyber-criminals and corrupt government officials - both in Sweden and in the United States - whom are only known as The Spider Society."	"DRAMA,THRILLER,MYSTERY,CRIME,ACTION"	"54.0"	"/movie/446807"	"November 9, 2018"
"Solo: A Star Wars Story"	"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian."	"ACTION,ADVENTURE,SCIENCE FICTION"	"66.0"	"/movie/348350"	"May 25, 2018"
"Thor: Ragnarok"	"Thor is on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the prophecy of destruction to his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela."	"ACTION,ADVENTURE,COMEDY,FANTASY,SCIENCE FICTION"	"75.0"	"/movie/284053"	"November 3, 2017"
"Ant-Man"	"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world."	"SCIENCE FICTION,ACTION,ADVENTURE"	"71.0"	"/movie/102899"	"July 17, 2015"
"Hotel Transylvania 3: Summer Vacation"	"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer."	"FAMILY,FANTASY,COMEDY,ANIMATION"	"68.0"	"/movie/400155"	"June 30, 2018"
"Avengers: Age of Ultron"	"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."	"ACTION,ADVENTURE,SCIENCE FICTION"	"73.0"	"/movie/99861"	"May 1, 2015"
"Jurassic World: Fallen Kingdom"	"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again."	"ACTION,ADVENTURE,SCIENCE FICTION"	"65.0"	"/movie/351286"	"June 22, 2018"
"Speed Kills"	"Speedboat racing champion and multimillionaire, Ben Aronoff (Don Aronow), leads a double life that lands him in trouble with the law and drug lords."	"CRIME,DRAMA,THRILLER"	"50"	"/movie/466411"	"November 16, 2018"
"Odiyan"	"With the arrival of electricity in the region under the British rule, the Odiyan clan that possesses the supernatural powers to assume animal form find it difficult to survive as they are ruthlessly captured and killed by the British. How the last Odiyan tries to save his clan with his stealth attacks, forms the crux."	"ACTION,FANTASY,MYSTERY,THRILLER"	"53.0"	"/movie/461166"	"December 13, 2018"
"The Nutcracker and the Four Realms"	"A young girl is transported into a magical world of gingerbread soldiers and an army of mice."	"FANTASY,ADVENTURE,FAMILY"	"61.0"	"/movie/426543"	"November 2, 2018"
"A Quiet Place"	"A family is forced to live in silence while hiding from creatures that hunt by sound."	"DRAMA,HORROR,THRILLER,SCIENCE FICTION"	"72.0"	"/movie/447332"	"April 6, 2018"
"John Wick"	"Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him."	"ACTION,THRILLER"	"71.0"	"/movie/245891"	"October 24, 2014"
"Outlaw King"	"Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne."	"DRAMA,ACTION,HISTORY"	"72.0"	"/movie/454227"	"November 9, 2018"
"Justice League"	"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth."	"ACTION,ADVENTURE,FANTASY,SCIENCE FICTION"	"63.0"	"/movie/141052"	"November 17, 2017"
"The Shape of Water"	"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape."	"DRAMA,FANTASY,ROMANCE"	"73.0"	"/movie/399055"	"December 1, 2017"
"Searching"	"After David Kim's 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop."	"DRAMA,THRILLER,MYSTERY"	"76.0"	"/movie/489999"	"August 24, 2018"
"Guardians of the Galaxy Vol. 2"	"The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage."	"ACTION,ADVENTURE,COMEDY,SCIENCE FICTION"	"77.0"	"/movie/283995"	"May 5, 2017"
"The Maze Runner"	"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."	"ACTION,MYSTERY,SCIENCE FICTION,THRILLER"	"71.0"	"/movie/198663"	"September 19, 2014"
"Deadpool"	"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."	"ACTION,ADVENTURE,COMEDY"	"75.0"	"/movie/293660"	"February 12, 2016"
"National Lampoon's Christmas Vacation"	"It's Christmas time and the Griswolds are preparing for a family seasonal celebration, but things never run smoothly for Clark, his wife Ellen and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going knowing that his Christmas bonus is due soon."	"COMEDY"	"72.0"	"/movie/5825"	"December 1, 1989"
"The Ballad of Buster Scruggs"	"Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride."	"COMEDY,DRAMA,WESTERN"	"73.0"	"/movie/537996"	"November 9, 2018"
